Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Child Care as a Business	0.0	Beginner level	Flexible schedule	You’ll learn the basics of operating a quality and nurturing home-based child care center as a business.      	Not specified	Introduction: Family Policy Handbook Project, Introduction to a Home-Based Child Care Program, Bookkeeping Basics, Childcare Contracts, Rate Setting and Invoice Processing, Project Assessment: Family Policy Handbook, Including a Business Plan	Jenniffer Bleakley	The State University of New York	Business	https://www.coursera.org/learn/childcare-as-a-business	12.0	Personal Development,Business,Education	0.0
Financial Engineering and Risk Management Specialization	4.5	Intermediate level	Flexible schedule	1. Valuing options, swaps, forwards, futures, and other complex financial derivatives using stochastic models2. Develop a systematic, data-driven approach to formulating modeled returns and risks for significant asset classes and optimal portfolios3. Back test and implement trading models and signals in an active, live trading environment 	Mathematical Finance, Algorithmic Trading, Portfolio Optimization, Asset Allocation, Quantitative Analysis	Introduction to Financial Engineering and Risk Management, Term-Structure and Credit Derivatives ,  Optimization Methods in Asset Management,  Advanced Topics in Derivative Pricing, Computational Methods in Pricing and Model Calibration	Ali Hirsa, Martin Haugh, Garud Iyengar	Columbia University	Business	https://www.coursera.org/specializations/financialengineering	80.0	Accounting & Finance,Technology,Risk & Credit	216.0
Valuing nature and people to inform business decision-making	4.7	Beginner level	Flexible schedule	Why it is important to include nature, people and society in business decision-makingHow businesses impact and depend on natural, human and social capital and how that translates into risks and opportunities.How to get started with a capitals assessment.The course helps you to understand how to drive change at the organizational level and teaches you what you can do to make a difference as individual	Risk Management, Business Communication, Innovative and strategic thinking, Problem Solving, Stakeholder Engagement	The Role of Businesses in Addressing the Great Challenges of Nature Loss, Climate Change and Inequality, Better Managing Risks and Opportunities by Adopting a Capitals Approach, Getting Started with a Natural Capital Assessment: Defining the Objective and Determining the Appropriate Scope, Measuring and Valuing Impacts and Dependencies to Integrate Natural Capital in Decision-Making	Tim Polaszek, Martine van Weelden 	Capitals Coalition	Business	https://www.coursera.org/learn/valuing-nature-and-people-to-inform-business-decision-making	19.0	Sustainability,Business,Risk & Credit	41.0
Platform Thinking: Innovation in digital business models era Specialization	4.9	Beginner level	Flexible schedule	 How to read the complexity of platforms around us, recognizing the peculiarities that differentiate many companies that we simple label as platforms How to leverage platform mechanisms to unlock digital business transformation and opportunities for innovation   How to properly design and launch a digital platform, triggered by idle assets or data-driven opportunities	Business Transformation, Innovation Mindset, Data-Driven Innovation, Business model innovation, Digital transformation	Platform Thinking: what’s beyond Uber?, Platform Thinking: designing a Platform, Platform Thinking: exploiting data through platforms, Platform Thinking for the Metaverse	Daniel Trabucchi, Tommaso Buganza	Politecnico di Milano	Business	https://www.coursera.org/specializations/platform-thinking	80.0	Business,Technology,Innovation	11.0
Work Smarter with Microsoft Excel	4.7	Beginner level	Flexible schedule	You will learn how to create a spreadsheet, work with formulas and functions, make your spreadsheets look professional, and print a spreadsheet.How to manage worksheets, workbooks, tables table data, data cells and ranges, and chartsHow to perform operations by using formulas and functions	Microsoft Excel, Chart, Worksheet	Getting started with Excel, Working with functions, Organizing and visualizing data, Advanced Excel features, Honors: Hands-on practice using Microsoft Excel	 Microsoft	Microsoft	Business	https://www.coursera.org/learn/microsoft-excel-work-smarter	20.0	Microsoft Tools,Business,Technology	1656.0
Develop a business presentation with Prezi	0.0	Beginner level	Hands-on learning	Design a professional presentation quickly and easily with Prezi. Create an attractive and animated presentation.	Business Communication, Sales Presentation, Marketing Communications, Presentation, Graphic Design	Learn step-by-step	Sara Nefzaoui	Coursera Project Network	Business	https://www.coursera.org/projects/develop-business-presentation-with-prezi	2.0	Design,Business,Technology	0.0
Introduction to Blockchain Specialization	4.6	Beginner level	Flexible schedule	Identify the core components of blockchain technology. Understand the fundamentals of money/currency and its evolution from pre-cryptocurrency to digital/crypto-assets. Identify the security attributes of the various wallet types.  Recall the importance of cryptocurrency security for accounting and finance professionals.	Not specified	Blockchain Evolution and Technology Concepts, Blockchain Opportunities Beyond Crypto Assets , Understanding, Using, and Securing Crypto and Digital Assets	AICPA 	Association of International Certified Professional Accountants	Business	https://www.coursera.org/specializations/introduction-to-blockchain	40.0	Accounting & Finance,Technology,Blockchain	239.0
Create a Business Marketing Brand Kit Using Canva	4.6	Intermediate level	Hands-on learning	Create a style guide template for branding.Create a simple logo using style guide elements.Create a branded business card template.	Business, Marketing, Digital Marketing, Graphic Design, Branding	Learn step-by-step	Stacey Shanklin-Langford	Coursera Project Network	Business	https://www.coursera.org/projects/create-business-marketing-brand-kit-using-canva	2.0	Design,Branding,Marketing	871.0
Connected Planning for Business Transformation Specialization	4.9	Beginner level	Flexible schedule	Articulate the key characteristics and benefits of Connected PlanningUnderstand the history of Connected Planning and its roots in business modeling and scenario planningExplain why organizations adopt Connected Planning to drive their success Articulate how Connected Planning links strategy, decisions, processes, and data across an organization	Business Planning, Technology Disruption, Strategic Planning, Business Strategy, Connected Planning	Overview of Connected Planning, Connected Planning in Action, Implementing Connected Planning, Capstone: Connected Planning for Business Transformation	Linda Scott, LA Foster	Anaplan	Business	https://www.coursera.org/specializations/anaplan-connected-planning-business-transformation	80.0	Business,Operation & Strategy,Technology	7.0
Data Warehousing and Business Intelligence	4.5	Beginner level	Flexible schedule	Explain different data warehousing architectures and multidimensional data modeling. Develop predictive data mining models, including classification and estimation models. Develop explanatory data mining models, including clustering and association models.	Data Clustering Algorithms, Data Mining for Clustering and Association, Data Warehousing, Multidimensional Modeling, Data Mining for Prediction and Explanation	Overview of Data Warehousing, Multidimensional Modeling for Data Warehousing, Data Mining for Prediction and Explanation, Data Mining for Clustering and Association	Tim Carrington	University of California, Irvine	Business	https://www.coursera.org/learn/data-warehousing-business-intelligence	6.0	Data Analytics,Data Science,Business	86.0
